ID,n,Disease_GUID
北京市_OUTBREAK_1335,4,63b69801683a4d97aa03c09c0b553ca9
北京市_OUTBREAK_1335,4,2fceccb4aab14371a5de402405ec8595
北京市_OUTBREAK_1335,4,c7b4a631362048bba4db6d975cf5f110
北京市_OUTBREAK_1335,4,da0b2d8f99d44f42b0573ac48d47e30d
北京市_OUTBREAK_1304,7,2fc59240ba1545d4b45ace310de64e08
北京市_OUTBREAK_1304,7,da0914e2c2ca40bfb6e74412d49f3a8c
北京市_OUTBREAK_1304,7,0d0e16de5b2c471b96227ee1179ea96b
北京市_OUTBREAK_1304,7,3258670873dd44108a857ea478ee2b7d
北京市_OUTBREAK_1304,7,94b00d10a49a43968a1728e11f728363
北京市_OUTBREAK_1304,7,79e1bd666b5c47b7b62c9690c0d1b0e1
北京市_OUTBREAK_1304,7,ae3c1bba05214a1e9592e7c6ea217512
北京市_OUTBREAK_168,5,99f51b94b62c4abbba50d4d65c44bcd1
北京市_OUTBREAK_168,5,bea5ec9f22e74081b7ddd6852cadcb05
北京市_OUTBREAK_168,5,e00c3c843f39420ea6fbe468571a89ef
北京市_OUTBREAK_168,5,c0bf193e9f644e7b8687a1de7c22b663
北京市_OUTBREAK_168,5,1b4108774d274693a96b6c567e9dc6e7
北京市_OUTBREAK_124,4,59fdc8ef13654b7eb348a05f3a3661cc
北京市_OUTBREAK_124,4,f7626c60b39741acbe48a5c39a7b4589
北京市_OUTBREAK_124,4,1ed2ca05096343faae55f1dc468cf7f7
北京市_OUTBREAK_124,4,ce73b94ddea24d4ba15d77779ad9fabd
北京市_OUTBREAK_1440,4,7c171eb9156d419ea1ff42872f1b1ad7
北京市_OUTBREAK_1440,4,69339cc1c1ad476fa8d662499383b734
北京市_OUTBREAK_1440,4,159e6e889fab4fd8b79ce1a0b7643271
北京市_OUTBREAK_1440,4,3ce02db746f94e4bb59af6e662b209c2
北京市_OUTBREAK_1463,3,37dec35b0acb4be59346a2d68907e7da
北京市_OUTBREAK_1463,3,262f73326ac14af8bc6607ed5955b002
北京市_OUTBREAK_1463,3,2348250751054ef5be544e68a6efa5bd
北京市_OUTBREAK_209,3,ffb30a95c49542209c06e110afd9eab9
北京市_OUTBREAK_209,3,14364d7299184eb58b53d012a3f98f04
北京市_OUTBREAK_209,3,6606bf3c2a50412abb17b256d42cc37d
北京市_OUTBREAK_1468,9,bc49c77cc45c4a80a016a71f44fd693a
北京市_OUTBREAK_1468,9,72de2b31fc464f25b628264b24085367
北京市_OUTBREAK_1468,9,c6013522d269428596662bae0d82ede5
北京市_OUTBREAK_1468,9,64db9ee9c2a343f381d9d860d062b675
北京市_OUTBREAK_1468,9,7ecf94d093924c3d9775544a18e9b824
北京市_OUTBREAK_1468,9,25656fc974004c30a5f01e2b47a958cc
北京市_OUTBREAK_1468,9,e98e152fe1c04b7a9265b1601cede35d
北京市_OUTBREAK_1468,9,02f708e63c8641bcad74ca2729469f2f
北京市_OUTBREAK_1468,9,ee72bd3d9aa54bd9b3cf1cce4f9b234d
北京市_OUTBREAK_1402,100,94ddf78e107b4278a2de17bd6a84cc15
北京市_OUTBREAK_1402,100,f92eb5ef01424c8fb3e660284aa75a53
北京市_OUTBREAK_1402,100,1b565c7d130b44a5a33db77a63a2ab15
北京市_OUTBREAK_1402,100,103375871c4c461b9d0e4e95a68b7ded
北京市_OUTBREAK_1402,100,217f4d288af5481b9bcea103cf19ba75
北京市_OUTBREAK_1402,100,113683a8ec4d46d6bda9d9ec4b403141
北京市_OUTBREAK_1402,100,7dd700faad344e5885d200b87c115ece
北京市_OUTBREAK_1402,100,434cddfc81c74111b3eb3eee24182fec
北京市_OUTBREAK_1402,100,82bf0f88d79e4aeb91772509ba324161
北京市_OUTBREAK_1402,100,2d200cea00f34684a37d4e918b0832e1
北京市_OUTBREAK_1402,100,cb56dde6dfc445598bad6bfad0c051e4
北京市_OUTBREAK_1402,100,ac7430d7c44b4a37b31a054ffaf5e541
北京市_OUTBREAK_1402,100,608383586a9543bdb6d1c1616a52c57d
北京市_OUTBREAK_1402,100,639238bbcc8042cbaef9028e961dc1ba
北京市_OUTBREAK_1402,100,1c301b0c64e649cb85c76e28609e2800
北京市_OUTBREAK_1402,100,58bd8cc33ccb422ea1fadf29ad11e3b3
北京市_OUTBREAK_1402,100,3c240fc1ab3a4ba7a20362ef35e4371b
北京市_OUTBREAK_1402,100,0db65b5948074c8b88930d7407cb0449
北京市_OUTBREAK_1402,100,3d47e9edc4ba463e955130dd7b0531b2
北京市_OUTBREAK_1402,100,7d71e89a70be45008e057382fb325086
北京市_OUTBREAK_1402,100,24794bd5accb4675a4e25f5d1ae32abb
北京市_OUTBREAK_1402,100,4a9ca3691b2c4a88aa483513e18e4433
北京市_OUTBREAK_1402,100,5c0460706aad42a4ace5812eaaf8b66a
北京市_OUTBREAK_1402,100,a90b995c1ba540d9abd8276e2e82f69c
北京市_OUTBREAK_1402,100,1ce96a1cb38d47168ec50365c7784755
北京市_OUTBREAK_1402,100,ae8bfce2b6924e0fbaa2d64d0cc70e2d
北京市_OUTBREAK_1402,100,1bbe8f2478694dc480003ac4c8438d16
北京市_OUTBREAK_1402,100,a7c534f11498428f8fb3767e35b9c934
北京市_OUTBREAK_1402,100,c12fcf4c8fd54b6fa6a4027bb988039d
北京市_OUTBREAK_1402,100,d99fb40c7b7947e39437d95daf07797e
北京市_OUTBREAK_1402,100,921ad573036144c499a1e3ce755d9083
北京市_OUTBREAK_1402,100,7ab06ef274504996aa0f1e00825d62d7
北京市_OUTBREAK_1402,100,d00e975b33f448bbbf45220463358664
北京市_OUTBREAK_1402,100,e6c401747a3140129cc334648662771f
北京市_OUTBREAK_1402,100,af86eeb440064062845fffc5327b2b2b
